Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D14_2,LED_RGBA,0606,89.292804,-22.09974,0.0,top
D14_3,LED_RGBA,0606,89.292804,-25.09948,0.0,top
D14_4,LED_RGBA,0606,89.292804,-28.09922,0.0,top
D14_5,LED_RGBA,0606,89.292804,-31.09896,0.0,top
D14_6,LED_RGBA,0606,89.292804,-34.0987,0.0,top
D14_7,LED_RGBA,0606,89.292804,-37.09844,0.0,top
D14_8,LED_RGBA,0606,89.292804,-40.09818,0.0,top
D15_1,LED_RGBA,0606,92.29229,-19.1,0.0,top
D15_2,LED_RGBA,0606,92.29229,-22.09974,0.0,top
D15_3,LED_RGBA,0606,92.29229,-25.09948,0.0,top
D15_4,LED_RGBA,0606,92.29229,-28.09922,0.0,top
D15_5,LED_RGBA,0606,92.29229,-31.09896,0.0,top
D15_6,LED_RGBA,0606,92.29229,-34.0987,0.0,top
D15_7,LED_RGBA,0606,92.29229,-37.09844,0.0,top
D15_8,LED_RGBA,0606,92.29229,-40.09818,0.0,top
D16_1,LED_RGBA,0606,95.291776,-19.1,0.0,top
D16_2,LED_RGBA,0606,95.291776,-22.09974,0.0,top
D16_3,LED_RGBA,0606,95.291776,-25.09948,0.0,top
D16_4,LED_RGBA,0606,95.291776,-28.09922,0.0,top
D16_5,LED_RGBA,0606,95.291776,-31.09896,0.0,top
D16_6,LED_RGBA,0606,95.291776,-34.0987,0.0,top
D16_7,LED_RGBA,0606,95.291776,-37.09844,0.0,top
D16_8,LED_RGBA,0606,95.291776,-40.09818,0.0,top
D17_1,LED_RGBA,0606,98.291262,-19.1,0.0,top
D17_2,LED_RGBA,0606,98.291262,-22.09974,0.0,top
D17_3,LED_RGBA,0606,98.291262,-25.09948,0.0,top
D17_4,LED_RGBA,0606,98.291262,-28.09922,0.0,top
D17_5,LED_RGBA,0606,98.291262,-31.09896,0.0,top
D17_6,LED_RGBA,0606,98.291262,-34.0987,0.0,top
D17_7,LED_RGBA,0606,98.291262,-37.09844,0.0,top
D17_8,LED_RGBA,0606,98.291262,-40.09818,0.0,top
D18_1,LED_RGBA,0606,101.290748,-19.1,0.0,top
D18_2,LED_RGBA,0606,101.290748,-22.09974,0.0,top
D18_3,LED_RGBA,0606,101.290748,-25.09948,0.0,top
D18_4,LED_RGBA,0606,101.290748,-28.09922,0.0,top
D18_5,LED_RGBA,0606,101.290748,-31.09896,0.0,top
D18_6,LED_RGBA,0606,101.290748,-34.0987,0.0,top
D18_7,LED_RGBA,0606,101.290748,-37.09844,0.0,top
D18_8,LED_RGBA,0606,101.290748,-40.09818,0.0,top
D19_1,LED_RGBA,0606,104.290234,-19.1,0.0,top
D19_2,LED_RGBA,0606,104.290234,-22.09974,0.0,top
D19_3,LED_RGBA,0606,104.290234,-25.09948,0.0,top
D19_4,LED_RGBA,0606,104.290234,-28.09922,0.0,top
D19_5,LED_RGBA,0606,104.290234,-31.09896,0.0,top
D19_6,LED_RGBA,0606,104.290234,-34.0987,0.0,top
D19_7,LED_RGBA,0606,104.290234,-37.09844,0.0,top
D19_8,LED_RGBA,0606,104.290234,-40.09818,0.0,top
D20_1,LED_RGBA,0606,107.28972,-19.1,0.0,top
D20_2,LED_RGBA,0606,107.28972,-22.09974,0.0,top
D20_3,LED_RGBA,0606,107.28972,-25.09948,0.0,top
D20_4,LED_RGBA,0606,107.28972,-28.09922,0.0,top
D20_5,LED_RGBA,0606,107.28972,-31.09896,0.0,top
D20_6,LED_RGBA,0606,107.28972,-34.0987,0.0,top
D20_7,LED_RGBA,0606,107.28972,-37.09844,0.0,top
D20_8,LED_RGBA,0606,107.28972,-40.09818,0.0,top
D21_1,LED_RGBA,0606,110.289206,-19.1,0.0,top
D21_2,LED_RGBA,0606,110.289206,-22.09974,0.0,top
D21_3,LED_RGBA,0606,110.289206,-25.09948,0.0,top
D21_4,LED_RGBA,0606,110.289206,-28.09922,0.0,top
D21_5,LED_RGBA,0606,110.289206,-31.09896,0.0,top
D21_6,LED_RGBA,0606,110.289206,-34.0987,0.0,top
D21_7,LED_RGBA,0606,110.289206,-37.09844,0.0,top
D21_8,LED_RGBA,0606,110.289206,-40.09818,0.0,top
D22_1,LED_RGBA,0606,113.287005,-19.1,0.0,top
D22_2,LED_RGBA,0606,113.287005,-22.09974,0.0,top
D22_3,LED_RGBA,0606,113.287005,-25.09948,0.0,top
D22_4,LED_RGBA,0606,113.287005,-28.09922,0.0,top
D22_5,LED_RGBA,0606,113.287005,-31.09896,0.0,top
D22_6,LED_RGBA,0606,113.287005,-34.0987,0.0,top
D22_7,LED_RGBA,0606,113.287005,-37.09844,0.0,top
D22_8,LED_RGBA,0606,113.287005,-40.09818,0.0,top
D23_1,LED_RGBA,0606,116.288178,-19.1,0.0,top
D23_2,LED_RGBA,0606,116.288178,-22.09974,0.0,top
D23_3,LED_RGBA,0606,116.288178,-25.09948,0.0,top
D23_4,LED_RGBA,0606,116.288178,-28.09922,0.0,top
D23_5,LED_RGBA,0606,116.288178,-31.09896,0.0,top
D23_6,LED_RGBA,0606,116.288178,-34.0987,0.0,top
D23_7,LED_RGBA,0606,116.288178,-37.09844,0.0,top
D23_8,LED_RGBA,0606,116.288178,-40.09818,0.0,top
D24_1,LED_RGBA,0606,119.287664,-19.1,0.0,top
D24_2,LED_RGBA,0606,119.287664,-22.09974,0.0,top
D24_3,LED_RGBA,0606,119.287664,-25.09948,0.0,top
D24_4,LED_RGBA,0606,119.287664,-28.09922,0.0,top
D24_5,LED_RGBA,0606,119.287664,-31.09896,0.0,top
D24_6,LED_RGBA,0606,119.287664,-34.0987,0.0,top
D24_7,LED_RGBA,0606,119.287664,-37.09844,0.0,top
D24_8,LED_RGBA,0606,119.287664,-40.09818,0.0,top
D25_1,LED_RGBA,0606,122.28715,-19.1,0.0,top
D25_2,LED_RGBA,0606,122.28715,-22.09974,0.0,top
D25_3,LED_RGBA,0606,122.28715,-25.09948,0.0,top
D25_4,LED_RGBA,0606,122.28715,-28.09922,0.0,top
D25_5,LED_RGBA,0606,122.28715,-31.09896,0.0,top
D25_6,LED_RGBA,0606,122.28715,-34.0987,0.0,top
D25_7,LED_RGBA,0606,122.28715,-37.09844,0.0,top
